Order_ID,Date,Hour,Restaurant,Item,Amount,Customer_ID
1,2026-04-03,13,Snow Peak Diner,Tea,40,C189
2,2026-04-13,18,Bamboo Bowl,Chowmein,180,C331
3,2026-04-27,19,Snow Peak Diner,Coffee,80,C131
4,2026-02-22,22,Cafe Himalaya,Fried Rice,200,C386
5,2026-02-27,18,Taste of Tawang,Chowmein,180,C049
6,2026-01-15,18,Mountain Cafe,Spring Roll,120,C364
7,2026-03-05,18,Arunachal Treats,Tea,40,C307
8,2026-01-21,18,Dragon Bites,Tea,40,C388
9,2026-03-01,19,Highland Kitchen,Thukpa,220,C265
10,2026-02-22,14,Bamboo Bowl,Spring Roll,120,C428
11,2026-02-04,21,Momo Junction,Coffee,80,C050
12,2026-05-12,16,Cafe Himalaya,Coffee,80,C054
13,2026-01-04,13,Dragon Bites,Spring Roll,120,C218
14,2026-01-14,19,Snow Peak Diner,Veg Momos,150,C462
15,2026-02-09,20,Dragon Bites,Tea,40,C367
16,2026-01-24,17,Taste of Tawang,Chowmein,180,C157
17,2026-03-30,22,Snow Peak Diner,Chicken Momos,180,C129
18,2026-03-04,20,Tawang Kitchen,Coffee,80,C392
19,2026-02-02,19,Highland Kitchen,Burger,220,C231
20,2026-02-10,21,Taste of Tawang,Spring Roll,120,C328
21,2026-02-02,12,Bamboo Bowl,Veg Momos,150,C062
22,2026-02-06,19,Snow Peak Diner,Coffee,80,C214
23,2026-04-11,22,Mountain Cafe,Burger,220,C257
24,2026-05-22,18,Taste of Tawang,Chowmein,180,C207
25,2026-02-11,18,Mountain Cafe,Spring Roll,120,C063
26,2026-02-21,19,Momo Junction,Tea,40,C222
27,2026-05-23,20,Momo Junction,Chowmein,180,C013
28,2026-03-27,21,Highland Kitchen,Tea,40,C045
29,2026-05-14,18,Momo Junction,Thukpa,220,C286
30,2026-04-02,17,Tawang Kitchen,Spring Roll,120,C385
31,2026-01-27,17,Momo Junction,Thukpa,220,C461
32,2026-01-03,11,Snow Peak Diner,Thukpa,220,C411
33,2026-03-03,14,Mountain Cafe,Thukpa,220,C234
34,2026-02-28,16,Snow Peak Diner,Coffee,80,C233
35,2026-04-23,12,Highland Kitchen,Pizza,350,C052
36,2026-05-10,19,Arunachal Treats,Tea,40,C113
37,2026-03-22,15,Dragon Bites,Coffee,80,C130
38,2026-03-28,15,Tawang Kitchen,Fried Rice,200,C385
39,2026-05-06,13,Highland Kitchen,Burger,220,C160
40,2026-03-09,12,Snow Peak Diner,Fried Rice,200,C123
41,2026-02-07,17,Momo Junction,Chicken Momos,180,C098
42,2026-05-19,20,Tawang Kitchen,Fried Rice,200,C201
43,2026-04-03,20,Momo Junction,Fried Rice,200,C403
44,2026-05-27,16,Bamboo Bowl,Spring Roll,120,C308
45,2026-05-08,18,Snow Peak Diner,Thukpa,220,C129
46,2026-02-11,14,Highland Kitchen,Thukpa,220,C112
47,2026-03-01,15,Tawang Kitchen,Thukpa,220,C304
48,2026-02-06,21,Bamboo Bowl,Chowmein,180,C009
49,2026-04-09,19,Mountain Cafe,Thukpa,220,C404
50,2026-02-23,20,Snow Peak Diner,Coffee,80,C116
51,2026-04-14,19,Mountain Cafe,Chicken Momos,180,C112
52,2026-04-09,22,Dragon Bites,Thukpa,220,C384
53,2026-02-23,18,Taste of Tawang,Veg Momos,150,C484
54,2026-03-09,14,Arunachal Treats,Chicken Momos,180,C304
55,2026-05-08,20,Mountain Cafe,Pizza,350,C401
